"scenario","run","method","ARI","NMI","seconds"
"standard",7,"longTAPIO-screened",0.986598879940902,0.982247792620475,2.16799999999057
"standard",7,"clusterMLD",1,1,1.73200000000361
"standard",7,"kml3d",0.986598879940902,0.982247792620475,0.294999999998254
"standard",8,"longTAPIO-random_weighted",1,1,2.21499999999651
"standard",8,"longTAPIO-random_weighted_95",0.948073410454901,0.948572210929773,2.33400000000256
"standard",8,"longTAPIO-first",0.789062388736865,0.797238312424043,2.14800000000105
"standard",8,"longTAPIO-screened",1,1,2.21499999999651
"standard",8,"clusterMLD",1,1,1.71899999999732
"standard",8,"kml3d",0.948073410454901,0.948572210929773,0.293000000005122
"standard",9,"longTAPIO-random_weighted",0.948073410454901,0.948572210929773,2.30800000000454
"standard",9,"longTAPIO-random_weighted_95",0.960630467282476,0.958419782247625,2.15200000000186
"standard",9,"longTAPIO-first",0.735468890844315,0.758842779343544,2.15800000001036
"standard",9,"longTAPIO-screened",0.948073410454901,0.948572210929773,2.30800000000454
"standard",9,"clusterMLD",1,1,1.72400000000198
"standard",9,"kml3d",0.986598879940902,0.982247792620475,0.293000000005122
"standard",10,"longTAPIO-random_weighted",1,1,2.25699999999779
"standard",10,"longTAPIO-random_weighted_95",1,1,2.14199999999255
"standard",10,"longTAPIO-first",0.717810664148703,0.737097777601364,2.15899999999965
"standard",10,"longTAPIO-screened",1,1,2.25699999999779
"standard",10,"clusterMLD",1,1,1.71799999999348
"standard",10,"kml3d",1,1,0.30000000000291
"standard",11,"longTAPIO-random_weighted",0.986598879940902,0.982247792620475,2.16599999999744
"standard",11,"longTAPIO-random_weighted_95",0.986598879940902,0.982247792620475,2.18099999999686
"standard",11,"longTAPIO-first",0.693057183672113,0.716149491817847,2.30800000000454
"standard",11,"longTAPIO-screened",0.986598879940902,0.982247792620475,2.16599999999744
"standard",11,"clusterMLD",1,1,1.72200000000885
"standard",11,"kml3d",1,1,0.293999999994412
"standard",12,"longTAPIO-random_weighted",0.97347395681731,0.969424860363499,2.21400000000722
"standard",12,"longTAPIO-random_weighted_95",0.93469056890693,0.930820003550247,2.35099999999511
"standard",12,"longTAPIO-first",0.825098326836849,0.826237230620438,2.13899999999558
"standard",12,"longTAPIO-screened",0.97347395681731,0.969424860363499,2.21400000000722
"standard",12,"clusterMLD",1,1,1.72000000000116
"standard",12,"kml3d",1,1,0.302000000010594
"standard",13,"longTAPIO-random_weighted",0.912022546306514,0.914343437518304,2.31100000000151
"standard",13,"longTAPIO-random_weighted_95",0.935807541467887,0.939569164298292,2.15499999999884
