"eta","sigma","run","Original_Train_ARI","Original_Train_NMI","Inductive_Train_ARI","Inductive_Train_NMI","Between_Methods_ARI","Between_Methods_NMI","Delta_Train_ARI","Delta_Train_NMI","Inductive_Test_ARI","Inductive_Test_NMI","Inductive_Test_Margin","Test_Minus_Train_ARI","Test_Minus_Train_NMI","Time_Original","Time_Inductive_Fit","Time_Inductive_Predict"
10,7,5,0.597579399844825,0.6037435730045,0.597579399844825,0.6037435730045,1,1,0,0,0.794126110788498,0.811661786643651,0.110899993919611,0.196546710943673,0.207918213639152,0.543999999999983,1.54399999999998,3.1389999999999
10,7,6,0.449613834352818,0.493047006292806,0.449613834352818,0.493047006292806,1,1,0,0,0.381119941862159,0.444100142311007,0.0933041782859442,-0.0684938924906585,-0.0489468639817987,0.537000000000035,1.54599999999994,3.13499999999999
10,7,7,0.429558096170126,0.484165301448817,0.429558096170126,0.484165301448817,1,1,0,0,0.442253756522012,0.552783454942971,0.10070597718254,0.0126956603518852,0.068618153494154,0.548000000000002,1.54899999999998,3.23099999999999
10,7,8,0.329157304830484,0.37038625490845,0.329157304830484,0.37038625490845,1,1,0,0,0.416213773604833,0.508980833086923,0.109046686814096,0.0870564687743482,0.138594578178472,0.548999999999978,1.54899999999998,3.14600000000007
10,7,9,0.631675581770385,0.676840410747263,0.631675581770385,0.676840410747263,1,1,0,0,0.653761311179926,0.700277675769438,0.124652341764842,0.0220857294095402,0.0234372650221754,0.538000000000011,1.54999999999995,3.13600000000008
10,7,10,0.30902642218216,0.385861145152877,0.30902642218216,0.385861145152877,1,1,0,0,0.248343552004366,0.33895336342705,0.0929630030144242,-0.0606828701777942,-0.0469077817258269,0.63900000000001,1.548,3.13300000000004
10,7,11,0.438818692764718,0.466808540176356,0.438818692764718,0.466808540176356,1,1,0,0,0.387694057711415,0.459066914424033,0.0999610568667038,-0.0511246350533024,-0.0077416257523234,0.548000000000002,1.54299999999989,3.12400000000002
10,7,12,0.496996637863892,0.547706736763764,0.496996637863892,0.547706736763764,1,1,0,0,0.425767650671297,0.468416613860321,0.112241225741871,-0.071228987192595,-0.0792901229034428,0.537000000000035,1.54700000000003,3.21800000000007
10,7,13,0.387726133365878,0.435904638164054,0.387726133365878,0.435904638164054,1,1,0,0,0.335255456864391,0.448359304237883,0.0989326367981217,-0.0524706765014878,0.0124546660738289,0.548000000000002,1.54399999999987,3.13599999999997
10,7,14,0.289108669983743,0.354688845792818,0.289108669983743,0.354688845792818,1,1,0,0,0.349813485924784,0.488969654408223,0.0915760501979252,0.0607048159410408,0.134280808615405,0.549999999999955,1.54899999999998,3.14399999999978
10,7,15,0.382871273795403,0.427445030906762,0.382871273795403,0.427445030906762,1,1,0,0,0.640216132767271,0.652796632978207,0.0959942867843326,0.257344858971868,0.225351602071445,0.538000000000011,1.64100000000008,3.1400000000001
10,7,16,0.432849442790056,0.478735564823833,0.432849442790056,0.478735564823833,1,1,0,0,0.478030949270919,0.543158643480401,0.0940286808099308,0.0451815064808637,0.0644230786565682,0.547000000000025,1.548,3.14499999999998
10,7,17,0.336160781760062,0.396548415963343,0.336160781760062,0.396548415963343,1,1,0,0,0.479046527147966,0.538987022004737,0.104147192460655,0.142885745387904,0.142438606041394,0.576000000000022,1.56299999999987,3.20399999999995
