"Experiment","Structure","Condition","Run","N","P","Signal","Noise","SignalFraction","Method","Mtry","ARI","NMI","Time"
"DIMENSIONALITY","BALANCED","N120_P10_S4",4,120,10,4,6,0.4,"longTAPIO",4,0.737057513095889,0.81511629225276,0.978000000000065
"DIMENSIONALITY","BALANCED","N120_P10_S4",4,120,10,4,6,0.4,"kml3d",NA,0.524293785310734,0.57305505825746,0.311999999999898
"DIMENSIONALITY","BALANCED","N120_P10_S4",5,120,10,4,6,0.4,"longTAPIO",4,0.821496020611925,0.836662973659677,0.981000000000677
"DIMENSIONALITY","BALANCED","N120_P10_S4",5,120,10,4,6,0.4,"kml3d",NA,0.559984483804971,0.616765468773979,0.317999999999302
"DIMENSIONALITY","BALANCED","N120_P10_S4",6,120,10,4,6,0.4,"longTAPIO",4,0.675677907777013,0.732968874654102,0.985999999999876
"DIMENSIONALITY","BALANCED","N120_P10_S4",6,120,10,4,6,0.4,"kml3d",NA,0.539765557391236,0.601638573876326,0.315999999999804
"DIMENSIONALITY","BALANCED","N120_P10_S4",7,120,10,4,6,0.4,"longTAPIO",4,0.690401933212242,0.75312157621842,0.989999999999782
"DIMENSIONALITY","BALANCED","N120_P10_S4",7,120,10,4,6,0.4,"kml3d",NA,0.456497175141243,0.510428474247172,0.325000000000728
"DIMENSIONALITY","BALANCED","N120_P10_S4",8,120,10,4,6,0.4,"longTAPIO",4,0.642900826734352,0.712941676768052,0.981999999999971
"DIMENSIONALITY","BALANCED","N120_P10_S4",8,120,10,4,6,0.4,"kml3d",NA,0.486824975590216,0.548124123524797,0.318000000000211
"DIMENSIONALITY","BALANCED","N120_P10_S4",9,120,10,4,6,0.4,"longTAPIO",4,0.654116418330134,0.730307744223794,1.10200000000077
"DIMENSIONALITY","BALANCED","N120_P10_S4",9,120,10,4,6,0.4,"kml3d",NA,0.312360596775126,0.365214065860955,0.317999999999302
"DIMENSIONALITY","BALANCED","N120_P10_S4",10,120,10,4,6,0.4,"longTAPIO",4,0.915155836219189,0.925970755273933,0.966999999999643
"DIMENSIONALITY","BALANCED","N120_P10_S4",10,120,10,4,6,0.4,"kml3d",NA,0.793450809412949,0.809366603221658,0.320000000000618
"DIMENSIONALITY","BALANCED","N120_P10_S4",11,120,10,4,6,0.4,"longTAPIO",4,0.702238452694935,0.771524695896638,0.978000000000065
"DIMENSIONALITY","BALANCED","N120_P10_S4",11,120,10,4,6,0.4,"kml3d",NA,0.592984847690452,0.658750033261745,0.319000000000415
"DIMENSIONALITY","BALANCED","N120_P10_S4",12,120,10,4,6,0.4,"longTAPIO",4,0.713650947239764,0.78030254470822,0.979999999999563
